participant_id,c_wpu,c_pret,c_form,line,groupstatus,gesture_rep,gesture_all
35,2,1,NA,969,PL,0,0
35,7,1,NA,987,PL,0,0
35,6,1,NA,989,PL,0,0
35,1,1,NA,991,PL,0,0
35,5,1,NA,993,PL,0,0
35,1,1,NA,995,PL,0,0
35,1,1,NA,1002,PL,0,0
35,3,1,NA,1006,PL,0,0
35,5,1,NA,1010,PL,0,0
35,1,1,NA,1016,PL,0,0
35,1,1,NA,1019,PL,0,0
35,4,1,NA,1047,PL,0,0
35,8,1,NA,1059,PL,0,0
35,4,1,NA,1087,PL,0,0
35,8,1,NA,1102,PL,0,0
35,10,1,NA,1115,PL,0,0
35,3,1,NA,1116,PL,0,0
35,7,1,NA,1117,PL,0,0
35,3,1,NA,1119,PL,0,0
35,6,1,NA,1122,PL,0,0
35,6,1,point,1126,PL,0,1
35,4,1,NA,1129,PL,0,0
35,9,1,NA,1131,PL,0,0
35,11,1,NA,1133,PL,0,0
35,8,1,NA,1140,PL,0,0
35,3,1,NA,1142,PL,0,0
35,10,1,point,1143,PL,0,1
35,6,1,point,1149,PL,0,1
35,3,1,NA,1153,PL,0,0
35,8,1,NA,1155,PL,0,0
35,3,1,NA,1157,PL,0,0
35,14,1,NA,1162,PL,0,0
35,6,1,NA,1165,PL,0,0
35,6,1,point,1166,PL,0,1
35,9,1,NA,1169,PL,0,0
35,1,1,NA,1171,PL,0,0
35,2,1,NA,1181,PL,0,0
35,3,1,NA,1182,PL,0,0
35,12,1,NA,1184,PL,0,0
35,7,1,NA,1186,PL,0,0
35,8,1,NA,1210,PL,0,0
35,5,1,NA,1213,PL,0,0
35,3,1,NA,1220,PL,0,0
35,15,1,NA,1232,PL,0,0
35,9,1,NA,1233,PL,0,0
35,6,1,NA,1245,PL,0,0
35,8,1,NA,1260,PL,0,0
35,3,1,NA,1330,PL,0,0
35,7,1,NA,1332,PL,0,0
35,2,1,NA,1334,PL,0,0
35,5,1,NA,1337,PL,0,0
35,9,1,NA,1359,PL,0,0
35,2,1,NA,1362,PL,0,0
35,1,1,NA,1363,PL,0,0
35,1,1,NA,1367,PL,0,0
35,5,1,NA,1368,PL,0,0
35,7,1,NA,1371,PL,0,0
35,1,1,NA,1373,PL,0,0
35,13,1,number,1378,PL,0,1
35,6,1,NA,1384,PL,0,0
35,7,1,NA,1389,PL,0,0
35,6,1,NA,1391,PL,0,0
35,4,1,NA,1411,PL,0,0
35,3,1,NA,1412,PL,0,0
35,8,1,NA,1415,PL,0,0
35,7,1,NA,1417,PL,0,0
35,7,1,NA,1418,PL,0,0
46,1,1,NA,587,PL,0,0
46,1,1,NA,589,PL,0,0
93,5,1,NA,55,PL,0,0
93,4,1,NA,60,PL,0,0
93,4,1,NA,117,PL,0,0
93,2,1,NA,118,PL,0,0
93,3,1,NA,119,PL,0,0
93,3,1,NA,120,PL,0,0
93,2,1,NA,121,PL,0,0
93,9,1,NA,122,PL,0,0
93,3,1,NA,123,PL,0,0
93,7,1,NA,124,PL,0,0
93,5,1,NA,553,PL,0,0
93,8,1,NA,555,PL,0,0
93,5,1,NA,556,PL,0,0
93,1,1,NA,955,PL,0,0
93,2,1,NA,957,PL,0,0
93,8,1,NA,959,PL,0,0
93,1,1,NA,961,PL,0,0
93,2,1,NA,1042,PL,0,0
93,1,1,NA,1046,PL,0,0
93,6,1,NA,1056,PL,0,0
93,7,1,NA,1057,PL,0,0
93,1,1,NA,1059,PL,0,0
93,1,1,NA,1061,PL,0,0
93,8,1,NA,1070,PL,0,0
93,1,1,NA,1074,PL,0,0
93,6,1,NA,1169,PL,0,0
94,5,1,NA,225,PL,0,0
94,3,1,NA,228,PL,0,0
94,2,1,NA,231,PL,0,0
94,2,1,NA,234,PL,0,0
94,1,1,NA,236,PL,0,0
94,4,1,NA,242,PL,0,0
94,6,1,NA,345,PL,0,0
94,0,1,NA,436,PL,0,0
94,0,1,NA,438,PL,0,0
94,0,1,NA,440,PL,0,0
94,0,1,NA,441,PL,0,0
94,0,1,NA,442,PL,0,0
94,0,1,NA,444,PL,0,0
94,0,1,NA,445,PL,0,0
94,0,1,NA,447,PL,0,0
94,0,1,NA,448,PL,0,0
94,6,1,iconic,727,PL,1,1
94,5,1,iconic,729,PL,1,1
94,5,1,hold,779,PL,0,1
94,1,1,NA,781,PL,0,0
94,9,1,NA,783,PL,0,0
94,2,1,NA,796,PL,0,0
94,1,1,NA,820,PL,0,0
94,2,1,NA,825,PL,0,0
