participant_id,C_wpu,c_pret,c_form,line,GroupStatus,gesture_rep,gesture_all,gesture_icon
135,3,1,NA,1039,BI,0,0,0
135,3,1,NA,1040,BI,0,0,0
135,6,1,NA,1041,BI,0,0,0
135,2,1,NA,1043,BI,0,0,0
135,1,1,NA,1045,BI,0,0,0
135,1,1,NA,1047,BI,0,0,0
135,2,1,NA,1048,BI,0,0,0
135,6,1,NA,1050,BI,0,0,0
135,6,1,NA,1059,BI,0,0,0
135,5,1,NA,1061,BI,0,0,0
135,1,1,NA,1070,BI,0,0,0
135,1,1,NA,1071,BI,0,0,0
135,2,1,NA,1072,BI,0,0,0
135,2,1,NA,1073,BI,0,0,0
135,3,1,NA,1076,BI,0,0,0
135,4,1,NA,1077,BI,0,0,0
135,1,1,NA,1086,BI,0,0,0
135,1,1,NA,1089,BI,0,0,0
135,5,1,NA,1090,BI,0,0,0
135,1,1,NA,1093,BI,0,0,0
135,1,1,NA,1096,BI,0,0,0
135,4,1,NA,1100,BI,0,0,0
135,10,1,NA,1102,BI,0,0,0
135,13,1,NA,1103,BI,0,0,0
135,9,1,NA,1107,BI,0,0,0
135,22,1,NA,1116,BI,0,0,0
135,2,1,NA,1118,BI,0,0,0
135,3,1,NA,1119,BI,0,0,0
135,3,1,NA,1123,BI,0,0,0
135,5,1,NA,1125,BI,0,0,0
135,3,1,NA,1126,BI,0,0,0
135,3,1,<darn it >,1128,BI,0,1,0
135,7,1,NA,1136,BI,0,0,0
135,10,1,NA,1138,BI,0,0,0
135,4,1,NA,1141,BI,0,0,0
135,1,1,NA,1146,BI,0,0,0
135,1,1,NA,1148,BI,0,0,0
135,4,1,NA,1149,BI,0,0,0
135,1,1,NA,1152,BI,0,0,0
135,9,1,NA,1153,BI,0,0,0
135,3,1,NA,1155,BI,0,0,0
135,3,1,NA,1157,BI,0,0,0
135,4,1,NA,1159,BI,0,0,0
135,1,1,NA,1161,BI,0,0,0
135,1,1,NA,1163,BI,0,0,0
135,2,1,NA,1170,BI,0,0,0
135,7,1,NA,1184,BI,0,0,0
135,7,1,NA,1185,BI,0,0,0
135,3,1,NA,1187,BI,0,0,0
